INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	MOLECULAR_FORMULA	AVERAGE_MASS	ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED	BIOCONCENTRATION_FACTOR_OPERA_PRED	BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED	BOILING_POINT_DEGC_OPERA_PRED	HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED	OPERA_KM_DAYS_OPERA_PRED	OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED	SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED	OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED	MELTING_POINT_DEGC_OPERA_PRED	VAPOR_PRESSURE_MMHG_OPERA_PRED	WATER_SOLUBILITY_MOL/L_OPERA_PRED
DTXSID9059337	DSSTox_Substance_Id	DTXSID9059337	Quinhydrone	C12H10O4	218.208	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9059624	DSSTox_Substance_Id	DTXSID9059624	Thoron	C16H13AsN2O10S2	532.33	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9060318	DSSTox_Substance_Id	DTXSID9060318	Magnesium, diethyl-	C4H10Mg	82.429	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9060499	DSSTox_Substance_Id	DTXSID9060499	Germane, tetraethyl-	C8H20Ge	188.878	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9061382	DSSTox_Substance_Id	DTXSID9061382	Zinc, bis[O-(1-methylethyl) carbonodithioato-.kappa.S,.kappa.S']-, (T-4)-	C8H14O2S4Zn	335.82	2.97212e-11	11.1936	6.71556	183.88	1.41563e-08	0.340428	3.4775	49.4142	-2.03257	160.058	0.176913	0.0162804
DTXSID9061590	DSSTox_Substance_Id	DTXSID9061590	Magnesium, dibutyl-	C8H18Mg	138.537	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9061677	DSSTox_Substance_Id	DTXSID9061677	Antimony oxide (Sb2O4)	O4Sb2	307.516	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9061831	DSSTox_Substance_Id	DTXSID9061831	Germane, chlorotriphenyl-	C18H15ClGe	339.4	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9062011	DSSTox_Substance_Id	DTXSID9062011	Phosphonitrile chloride	Cl2NP	115.88	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9062063	DSSTox_Substance_Id	DTXSID9062063	Plumbane, tetrabutyl-	C16H36Pb	435.7	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9062190	DSSTox_Substance_Id	DTXSID9062190	Germane, tributylchloro-	C12H27ClGe	279.43	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9062645	DSSTox_Substance_Id	DTXSID9062645	Barium trifluoromethanesulphonate	C2BaF6O6S2	435.45	1.35836e-15	4.86518	4.59247	166.03	1.95011e-06	0.0876476	3.7557	18.8089	-1.70421	207.654	0.0995518	0.330896
DTXSID9062801	DSSTox_Substance_Id	DTXSID9062801	6H-1,3,2-Oxathiastannin-6-one, dihydro-2,2-dioctyl-	C19H38O2SSn	449.28	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9062986	DSSTox_Substance_Id	DTXSID9062986	Dibutoxydibutylstannane	C16H36O2Sn	379.172	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9063530	DSSTox_Substance_Id	DTXSID9063530	Germane, dibutyldichloro-	C8H18Cl2Ge	257.76	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9063661	DSSTox_Substance_Id	DTXSID9063661	Benzoic acid, 4-(1,1-dimethylethyl)-, zinc salt	C22H26O4Zn	419.83	1.43671e-11	4.56919	4.51168	276.325	1.69792e-07	0.159593	7.75177	42.2637	-0.632668	185.759	0.000261032	0.000158877
DTXSID9063798	DSSTox_Substance_Id	DTXSID9063798	Hydrazine dihydrochloride	Cl2H6N2	104.96	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9064681	DSSTox_Substance_Id	DTXSID9064681	Platinum	Pt	195.084	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9064685	DSSTox_Substance_Id	DTXSID9064685	Rhenium	Re	186.207	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9064687	DSSTox_Substance_Id	DTXSID9064687	Ruthenium	Ru	101.07	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9064689	DSSTox_Substance_Id	DTXSID9064689	Scandium	Sc	44.955908	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9064760	DSSTox_Substance_Id	DTXSID9064760	Pentafluorophosphorane	F5P	125.965777813	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9064843	DSSTox_Substance_Id	DTXSID9064843	Arsenous triiodide	AsI3	455.63501	-	-	-	-	-	-	-	-	-	-	-	-
